,loss,mse,mae,val_loss,val_mse,val_mae,epoch,model_features,accuracy,val_accuracy
0,0.944164550784878,0.944164514541626,0.7486817836761475,0.09283572572626565,0.09283572435379028,0.23847660422325134,0,N_gram_CNN_13_q_glove_n-gram_cnn_10,,
1,0.26366266665232174,0.26366275548934937,0.4044068455696106,0.07307153950004201,0.07307153940200806,0.21167391538619995,1,N_gram_CNN_13_q_glove_n-gram_cnn_10,,
2,0.14758266129845238,0.14758266508579254,0.30103522539138794,0.06659316938174398,0.06659316271543503,0.19942794740200043,2,N_gram_CNN_13_q_glove_n-gram_cnn_10,,
3,0.10761795492021974,0.10761798173189163,0.2565639019012451,0.062023590073773734,0.062023602426052094,0.19233417510986328,3,N_gram_CNN_13_q_glove_n-gram_cnn_10,,
4,0.08725941497713799,0.08725941181182861,0.23061227798461914,0.05862840412086562,0.05862840265035629,0.1855108141899109,4,N_gram_CNN_13_q_glove_n-gram_cnn_10,,
5,0.07701380027191104,0.07701379060745239,0.21432022750377655,0.056576114932173176,0.05657612159848213,0.18175719678401947,5,N_gram_CNN_13_q_glove_n-gram_cnn_10,,
6,0.06900525640189929,0.06900525093078613,0.2025059312582016,0.055590374101149406,0.05559037998318672,0.176275372505188,6,N_gram_CNN_13_q_glove_n-gram_cnn_10,,
7,0.06382560737181318,0.06382559984922409,0.1937883347272873,0.05460821748956254,0.054608218371868134,0.17864936590194702,7,N_gram_CNN_13_q_glove_n-gram_cnn_10,,
8,0.06102975483492718,0.06102975830435753,0.18845388293266296,0.05384572967886925,0.053845733404159546,0.17675961554050446,8,N_gram_CNN_13_q_glove_n-gram_cnn_10,,
9,0.0569883912921246,0.05698838084936142,0.18169936537742615,0.05351650989369342,0.05351649969816208,0.177199587225914,9,N_gram_CNN_13_q_glove_n-gram_cnn_10,,
