,loss,mse,mae,val_loss,val_mse,val_mae,epoch,model_features,accuracy,val_accuracy
0,1.033726324417109,1.0337259769439697,0.7813525199890137,0.09374419266456052,0.0937441885471344,0.2386341542005539,0,N_gram_CNN_14_q__num_glove_n-gram_cnn_10,,
1,0.28455402956574194,0.2845540940761566,0.4171246290206909,0.07719949515242326,0.07719948887825012,0.21771779656410217,1,N_gram_CNN_14_q__num_glove_n-gram_cnn_10,,
2,0.1554329832063985,0.15543292462825775,0.30963677167892456,0.06930166767223885,0.06930166482925415,0.20412488281726837,2,N_gram_CNN_14_q__num_glove_n-gram_cnn_10,,
3,0.11115040657833086,0.11115044355392456,0.2607707679271698,0.06366668112183872,0.0636666864156723,0.19536980986595154,3,N_gram_CNN_14_q__num_glove_n-gram_cnn_10,,
4,0.08980707205110387,0.08980707079172134,0.23292431235313416,0.05958891659975052,0.05958892032504082,0.1862897276878357,4,N_gram_CNN_14_q__num_glove_n-gram_cnn_10,,
5,0.07816578727119773,0.07816577702760696,0.21654202044010162,0.05697504646683994,0.056975044310092926,0.18112879991531372,5,N_gram_CNN_14_q__num_glove_n-gram_cnn_10,,
6,0.06964415004934618,0.06964416056871414,0.20373083651065826,0.05640118608349248,0.05640118941664696,0.17992080748081207,6,N_gram_CNN_14_q__num_glove_n-gram_cnn_10,,
7,0.06471707269858853,0.06471708416938782,0.19467832148075104,0.05435586897166152,0.054355867207050323,0.1751977503299713,7,N_gram_CNN_14_q__num_glove_n-gram_cnn_10,,
8,0.06118783427380545,0.06118784472346306,0.1886414885520935,0.053517263382673264,0.053517259657382965,0.17609623074531555,8,N_gram_CNN_14_q__num_glove_n-gram_cnn_10,,
9,0.05819591591427681,0.05819590389728546,0.18363015353679657,0.05283782817423344,0.052837830036878586,0.17457981407642365,9,N_gram_CNN_14_q__num_glove_n-gram_cnn_10,,
