,loss,accuracy,val_loss,val_accuracy,epoch,model_features
0,1.8222268949730662,0.3946123719215393,1.471126228570938,0.48355263471603394,0,N_gram_CNN_Question_Glove_NormalCNN_10
1,1.4944981550596732,0.4342998266220093,1.4420132731136523,0.43914473056793213,1,N_gram_CNN_Question_Glove_NormalCNN_10
2,1.4544406582390896,0.4464322328567505,1.450340377657037,0.45148026943206787,2,N_gram_CNN_Question_Glove_NormalCNN_10
3,1.441753871936551,0.44787168502807617,1.4386761345361407,0.4646381437778473,3,N_gram_CNN_Question_Glove_NormalCNN_10
4,1.4311293117210204,0.46535059809684753,1.4756677087984587,0.4416118562221527,4,N_gram_CNN_Question_Glove_NormalCNN_10
5,1.4398533896656651,0.4694632887840271,1.4656276796993457,0.4399670958518982,5,N_gram_CNN_Question_Glove_NormalCNN_10
6,1.3970712154411176,0.47480979561805725,1.5125218065161454,0.4580592215061188,6,N_gram_CNN_Question_Glove_NormalCNN_10
7,1.3994819856145955,0.4706971049308777,1.5051589890530235,0.40460526943206787,7,N_gram_CNN_Question_Glove_NormalCNN_10
8,1.3525484498086937,0.48838165402412415,1.5910118975137408,0.43174341320991516,8,N_gram_CNN_Question_Glove_NormalCNN_10
9,1.358855539036954,0.4904380142688751,1.5251432845467014,0.4424342215061188,9,N_gram_CNN_Question_Glove_NormalCNN_10
